city,country,region,coastline,latitude,longitude,temperature,highest
Aalborg,Denmark,Northern,yes,57.03,9.92,7.52,171
Aberdeen,United Kingdom,Western,yes,57.17,-2.08,8.1,1344
Abisko,Sweden,Northern,yes,63.35,18.83,0.2,2104
Adana,Turkey,Southern,yes,36.99,35.32,18.67,5137
Albacete,Spain,Southern,yes,39,-1.87,12.62,3479
Algeciras,Spain,Southern,yes,36.13,-5.47,17.38,3479
Amiens,France,Western,yes,49.9,2.3,10.17,4810
Amsterdam,Netherlands,Western,yes,52.35,4.92,8.93,321
Ancona,Italy,Southern,yes,43.6,13.5,13.52,4810
Andorra,Andorra,Western,no,42.5,1.52,9.6,2942
Angers,France,Western,yes,47.48,-0.53,10.98,4810
Ankara,Turkey,Southern,yes,39.93,32.86,9.86,5137
Antalya,Turkey,Southern,yes,36.89,30.7,11.88,5137
Arad,Romania,Central and Eastern,yes,46.17,21.32,9.32,2544
Athens,Greece,Southern,yes,37.98,23.73,17.41,2919
Augsburg,Germany,Western,yes,48.35,10.9,4.54,2962
Bacau,Romania,Central and Eastern,yes,46.58,26.92,7.51,2544
Badajoz,Spain,Southern,yes,38.88,-6.97,15.61,3479
Baia Mare,Romania,Central and Eastern,yes,47.66,23.58,8.87,2544
Balti,Moldova,Central and Eastern,no,47.76,27.91,8.23,430
Barcelona,Spain,Southern,yes,41.38,2.18,15.78,3479
Bari,Italy,Southern,yes,41.11,16.87,15.15,4810
Basel,Switzerland,Western,no,47.58,7.59,6.68,4634
Batman,Turkey,Southern,yes,37.89,41.14,14.16,5137
Belfast,United Kingdom,Western,yes,54.6,-5.96,8.48,1344
Belgrade,Serbia,Central and Eastern,no,44.82,20.47,9.85,2169
Bergamo,Italy,Southern,yes,45.7,9.67,9.12,4810
Bergen,Norway,Northern,yes,60.39,5.32,1.75,2469
Berlin,Germany,Western,yes,52.52,13.4,8.72,2962
Bialystok,Poland,Central and Eastern,yes,53.15,23.17,6.07,2499
Bielefeld,Germany,Western,yes,52.03,8.53,8.78,2962
